set	num	mini	maxi	acc	miss	   
devel	1	801	1964	2	0	   
devel	2	801	1968	1	0	   
devel	3	801	1506	1	0	   
devel	4	801	1869	1	0	   
devel	5	824	1964	2	0	   
devel	6	832	1931	2	0	   
devel	7	928	3115	2	0	   
devel	8	801	1483	2	0	   
devel	9	801	3115	2	0	   
devel	10	895	1458	2	0	   
devel	11	914	1975	2	0	   
devel	12	801	1848	2	0	   
devel	13	801	1607	2	0	   
devel	14	801	1438	1	0	   
devel	15	921	1645	2	0	   
devel	16	834	1728	2	0	   
devel	17	801	1556	2	0	   
devel	18	801	2061	1	0	   
devel	19	801	1771	1	0	   
devel	20	809	2505	2	0	   
valid	1	801	2174	2	0	   
valid	2	801	3059	2	0	   
valid	3	801	1998	2	0	   
valid	4	879	2259	2	0	   
valid	5	888	2580	2	0	   
valid	6	1809	3975	2	0	   
valid	7	801	1998	2	0	   
valid	8	801	2147	2	0	   
valid	9	805	1711	2	0	   
valid	10	870	1745	2	0	   
valid	11	855	2033	2	0	   
valid	12	801	1563	2	0	   
valid	13	801	2174	2	0	   
valid	14	803	1868	2	0	   
valid	15	822	1719	2	0	   
valid	16	836	2082	2	0	   
valid	17	959	1931	2	0	   
valid	18	916	1711	2	0	   
valid	19	801	1502	2	0	   
valid	20	813	1909	2	0	   
devel	21	801	1987	1	0	   
devel	22	872	1920	2	0	   
devel	23	801	2287	1	0	   
devel	24	801	1899	2	0	   
devel	25	801	1782	1	0	   
devel	26	801	1842	1	0	   
devel	27	801	2160	2	0	   
devel	28	1048	1792	0	0	   
devel	29	836	1774	0	0	   
devel	30	801	1615	1	0	   
devel	31	801	2153	1	0	   
devel	32	801	2045	2	0	   
devel	33	801	2680	2	0	   
devel	34	801	3016	1	0	   
devel	35	801	1828	2	0	   
devel	36	808	1756	0	0	   
devel	37	840	2857	2	0	   
devel	38	952	1909	2	0	   
devel	39	801	1496	2	0	   
devel	40	816	1770	0	0	   
devel	41	801	1702	2	0	   
devel	42	801	1645	2	0	   
devel	43	857	2082	2	0	   
devel	44	801	1602	1	0	   
devel	45	801	3471	1	0	   
devel	46	866	1677	2	0	   
devel	47	801	1763	2	0	   
devel	48	1001	2069	2	0	   
devel	49	881	1711	2	0	   
devel	50	801	2535	1	0	   
devel	51	818	1941	2	0	   
devel	52	801	1979	1	0	   
devel	53	801	2033	2	0	   
devel	54	801	1765	1	0	   
devel	55	801	1776	1	0	   
devel	56	824	1844	0	0	   
devel	57	801	2201	2	0	   
devel	58	801	2142	1	0	   
devel	59	801	1418	1	0	   
devel	60	801	2045	2	0	   
devel	61	844	1888	2	0	   
devel	62	801	1449	1	0	   
devel	63	801	2599	2	0	   
devel	64	801	2069	2	0	   
devel	65	842	1677	2	0	   
devel	66	941	2021	2	0	   
devel	67	803	1819	2	0	   
devel	68	838	2045	2	0	   
devel	69	801	1762	1	0	   
devel	70	815	2560	2	0	   
devel	71	838	2834	2	0	   
devel	72	801	2089	1	0	   
devel	73	801	1998	2	0	   
devel	74	801	1899	2	0	   
devel	75	801	2133	2	0	   
devel	76	838	2659	2	0	   
devel	77	801	1757	1	0	   
devel	78	801	1622	2	0	   
devel	79	801	2580	2	0	   
devel	80	807	1920	2	0	   
devel	81	801	2091	1	0	   
devel	82	801	1483	2	0	   
devel	83	801	1952	2	0	   
devel	84	801	1711	2	0	   
devel	85	801	1815	1	0	   
devel	86	939	2082	2	0	   
devel	87	864	1776	0	0	   
devel	88	801	1848	1	0	   
devel	89	832	1752	0	0	   
devel	90	801	1496	2	0	   
devel	91	801	2781	1	0	   
devel	92	801	1899	2	0	   
devel	93	801	1348	1	0	   
devel	94	801	2230	2	0	   
devel	95	801	2040	1	0	   
devel	96	801	2525	1	0	   
devel	97	801	2045	2	0	   
devel	98	801	3714	1	0	   
devel	99	801	2765	1	0	   
devel	100	801	1815	1	0	   
devel	101	801	1615	2	0	   
devel	102	801	1600	2	0	   
devel	103	801	2289	2	0	   
devel	104	801	1571	1	0	   
devel	105	816	1998	2	0	   
devel	106	801	1998	1	0	   
devel	107	801	2203	1	0	   
devel	108	801	2442	1	0	   
devel	109	801	1899	1	0	   
devel	110	897	1607	2	0	   
devel	111	801	2046	1	0	   
devel	112	803	1964	2	0	   
devel	113	801	1622	2	0	   
devel	114	879	2045	2	0	   
devel	115	812	1774	0	0	   
devel	116	826	2033	2	0	   
devel	117	807	2033	2	0	   
devel	118	801	1684	1	0	   
devel	119	801	2230	2	0	   
devel	120	801	2174	2	0	   
